[2013-03-15 11:42:30] START
[2013-03-22 08:40:42] CREATE showcase.py: 0
[2013-03-22 08:58:49] EDIT amazon/controllers/default.py: 41
[2013-03-22 09:06:11] EDIT amazon/controllers/default.py: -2
[2013-03-22 09:07:54] EDIT amazon/models/showcase.py: 48
[2013-03-22 09:09:11] EDIT amazon/models/showcase.py: -1
[2013-03-22 09:10:10] EDIT amazon/controllers/default.py: 0
[2013-03-22 09:15:15] EDIT amazon/models/showcase.py: 0
[2013-04-10 22:35:44] EDIT amazon/views/layout.html: 0
[2013-04-10 22:37:22] EDIT amazon/views/layout.html: 0
[2013-04-10 22:38:20] EDIT amazon/views/layout.html: 0
[2013-04-10 22:58:53] DELETE amazon/views/plugin_layouts/layouts/FreshLight.html: -183
[2013-04-11 11:53:20] EDIT amazon/views/default/search.html: 2
